event_id,customer_id,product_id,event_type,event_timestamp,device_type,session_duration
255296,8806,213,add_to_cart,2026-03-12 20:06:28,desktop,39
255297,628,494,product_view,2026-03-12 06:43:18,mobile,596
255298,4612,418,add_to_cart,2026-03-12 06:10:56,desktop,254
255299,4252,424,product_view,2026-03-12 11:13:15,desktop,53
255300,9072,345,product_view,2026-03-12 12:06:13,desktop,382
255301,1082,391,checkout,2026-03-12 14:30:53,mobile,56
255302,6590,317,checkout,2026-03-12 01:59:07,tablet,258
255303,10439,93,checkout,2026-03-12 12:25:29,tablet,7
255304,10430,92,page_view,2026-03-12 07:18:52,mobile,102
255305,379,387,add_to_cart,2026-03-12 13:44:55,tablet,128
255306,107,295,checkout,2026-03-12 04:27:20,mobile,437
255307,8571,97,checkout,2026-03-12 21:10:16,desktop,162
255308,738,495,product_view,2026-03-12 02:31:16,tablet,516
255309,3925,339,checkout,2026-03-12 10:31:56,mobile,238
255310,9522,372,page_view,2026-03-12 00:44:10,mobile,33
255311,2583,140,add_to_cart,2026-03-12 15:15:30,tablet,365
255312,762,140,page_view,2026-03-12 01:01:18,mobile,176
255313,3308,114,add_to_cart,2026-03-12 04:10:25,desktop,343
255314,3370,298,checkout,2026-03-12 14:17:16,tablet,590
255315,8900,113,add_to_cart,2026-03-12 00:24:15,desktop,316
255316,8577,165,checkout,2026-03-12 12:55:39,mobile,258
255317,2255,491,add_to_cart,2026-03-12 09:52:22,desktop,536
255318,2570,409,add_to_cart,2026-03-12 08:55:56,mobile,368
255319,2248,222,page_view,2026-03-12 22:14:24,tablet,62
255320,8067,200,checkout,2026-03-12 13:03:44,desktop,341
255321,9671,137,product_view,2026-03-12 13:15:54,mobile,336
255322,3656,227,checkout,2026-03-12 10:57:53,mobile,315
255323,2282,241,add_to_cart,2026-03-12 16:08:30,tablet,17
255324,917,411,page_view,2026-03-12 14:15:24,tablet,570
255325,5866,273,product_view,2026-03-12 00:37:52,tablet,273
255326,4689,2,add_to_cart,2026-03-12 10:45:35,tablet,425
255327,7505,187,page_view,2026-03-12 04:39:54,mobile,63
255328,7827,262,page_view,2026-03-12 09:31:55,desktop,509
255329,657,74,page_view,2026-03-12 12:02:05,tablet,489
255330,3446,168,checkout,2026-03-12 10:10:21,tablet,395
255331,10359,225,product_view,2026-03-12 15:47:03,tablet,140
255332,8498,358,checkout,2026-03-12 00:28:33,mobile,506
255333,8081,297,checkout,2026-03-12 04:37:54,mobile,369
255334,5539,321,product_view,2026-03-12 03:34:42,tablet,98
255335,441,262,product_view,2026-03-12 15:12:06,desktop,6
255336,10448,487,checkout,2026-03-12 09:40:03,mobile,385
255337,6433,224,checkout,2026-03-12 07:35:18,desktop,508
255338,8996,149,checkout,2026-03-12 07:57:56,tablet,15
255339,2053,467,page_view,2026-03-12 12:20:05,tablet,438
255340,1220,232,page_view,2026-03-12 18:56:20,mobile,100
255341,3486,193,add_to_cart,2026-03-12 18:15:43,mobile,496
255342,2459,326,checkout,2026-03-12 07:16:41,mobile,230
255343,7123,161,product_view,2026-03-12 16:05:47,desktop,595
255344,8612,221,product_view,2026-03-12 23:22:31,tablet,592
255345,1859,463,checkout,2026-03-12 10:02:56,desktop,128
255346,9386,152,page_view,2026-03-12 08:59:41,mobile,547
255347,9590,207,checkout,2026-03-12 10:48:38,desktop,204
255348,8135,455,add_to_cart,2026-03-12 19:25:55,mobile,427
255349,8605,257,page_view,2026-03-12 17:32:44,mobile,175
255350,4031,303,add_to_cart,2026-03-12 12:02:26,desktop,282
255351,797,147,checkout,2026-03-12 19:28:15,tablet,555
255352,4554,490,product_view,2026-03-12 23:54:41,desktop,173
255353,5661,374,page_view,2026-03-12 14:11:34,mobile,238
255354,9025,479,page_view,2026-03-12 10:05:38,desktop,158
255355,187,482,product_view,2026-03-12 05:37:17,tablet,356
255356,3499,424,page_view,2026-03-12 04:27:24,tablet,517
255357,1461,148,page_view,2026-03-12 15:21:53,tablet,518
255358,4291,367,product_view,2026-03-12 06:13:54,mobile,299
255359,6121,272,checkout,2026-03-12 02:31:16,mobile,196
255360,9693,382,product_view,2026-03-12 10:46:31,mobile,588
255361,2933,231,add_to_cart,2026-03-12 16:03:59,tablet,100
255362,8751,171,checkout,2026-03-12 03:42:38,mobile,446
255363,1647,293,page_view,2026-03-12 18:03:36,desktop,67
255364,1655,366,add_to_cart,2026-03-12 12:23:30,tablet,431
255365,5914,274,product_view,2026-03-12 03:20:53,tablet,495
255366,8938,159,page_view,2026-03-12 19:11:32,desktop,546
255367,165,198,page_view,2026-03-12 21:20:07,mobile,19
255368,4862,211,page_view,2026-03-12 19:30:23,tablet,359
255369,8270,382,product_view,2026-03-12 02:53:33,desktop,261
255370,5767,423,checkout,2026-03-12 19:31:51,tablet,51
